time,200,302 
0,11, 
10,23,5 
20,42,9 
30,59,18 
40,77,27 
50,105,37 
60,126,49 
70,157,61 
80,182,73 
90,220,87 
100,250,109 
110,278,121 
120,309,137 
130,365,145 
140,410,173 
150,448,197 
160,491,213 
170,526,241 
180,550,259 
190,617,276 
200,681,300 
210,746,335 
220,832,370 
230,893,405 
240,992,434 
250,1098,482 
260,1207,536 
270,1330,591 
280,1432,655 
290,1538,703 
300,1664,760 
310,1834,814 
320,2031,887 
330,2218,986 
340,2396,1080 
350,2605,1170 
360,2822,1275 
370,3111,1385 
380,3429,1518 
390,3735,1688 
400,4071,1822 
410,4358,1989 
420,4711,2136 
430,5079,2308 
440,5436,2482 
450,5861,2673 
460,6256,2873 
470,6648,3060 
480,7037,3254 
490,7504,3440 
500,7992,3693 
510,8450,3936 
520,8997,4159 
530,9506,4441 
540,10075,4694 
