time,users,connected 
0,11,11 
10,21,9 
20,30,9 
30,37,8 
40,41,4 
50,46,-1 
60,46,3 
70,58,14 
80,70,8 
90,82,17 
100,91,7 
110,91,-20 
120,91,0 
130,91,0 
140,91,8 
150,91,5 
160,99,14 
170,106,8 
180,106,-2 
190,128,26 
200,144,15 
210,167,20 
220,194,27 
230,211,12 
240,244,31 
250,271,23 
260,294,18 
270,299,-1 
280,316,28 
290,319,-20 
300,322,18 
310,356,35 
320,392,15 
330,433,19 
340,472,7 
350,501,19 
360,569,48 
370,655,81 
380,718,-1 
390,812,64 
400,910,103 
410,967,89 
420,1058,62 
430,1186,136 
440,1305,106 
450,1396,33 
460,1502,72 
470,1591,72 
480,1693,69 
490,1815,101 
500,1889,38 
510,1943,15 
520,2003,24 
530,2053,22 
540,2087,50 
550,2173,40 
560,2261,66 
570,2316,89 
580,2400,14 
590,2449,-49 
600,2518,47 
610,2622,34 
620,2668,72 
630,2697,0 
640,2701,-21 
650,2701,-51 
660,2701,12 
670,2701,80 
680,2701,47 
690,2701,65 
700,2703,-101 
710,2725,-79 
720,2725,-273 
730,2725,-209 
740,2725,-198 
750,2725,-189 
760,2725,-119 
770,2725,-151 
780,2725,-175 
790,2725,-212 
800,2725,-211 
810,2725,-95 
820,2725,-9 
830,2725,-2 
840,2725,0 
842,2725,0 
