time,newphase 
60,1 
70,1 
80,1 
90,1 
100,1 
110,1 
120,2 
130,2 
140,2 
150,2 
160,2 
170,2 
180,3 
190,3 
200,3 
210,3 
220,3 
230,3 
240,4 
250,4 
260,4 
270,4 
280,4 
290,4 
300,5 
310,5 
320,5 
330,5 
340,5 
350,5 
360,6 
370,6 
380,6 
390,6 
400,6 
410,6 
420,7 
430,7 
440,7 
450,7 
460,7 
470,7 
480,8 
490,8 
500,8 
510,8 
520,8 
530,8 
540,9 
550,9 
560,9 
570,9 
580,9 
590,9 
600,10 
610,10 
620,10 
630,10 
640,10 
651,10 
660,11 
670,11 
680,11 
690,11 
700,11 
710,11 
720,11 
730,11 
740,11 
750,11 
760,11 
770,11 
780,11 
790,11 
800,11 
810,11 
820,11 
822,11 
