time,users_count,finish_users_count 
0,11,0 
10,18,0 
20,28,0 
30,33,1 
40,41,10 
50,54,15 
60,66,23 
70,80,27 
80,92,36 
90,116,44 
100,135,54 
110,146,72 
120,167,79 
130,186,99 
140,211,116 
150,233,136 
160,248,156 
170,266,167 
180,297,190 
190,325,206 
200,358,230 
210,395,248 
220,434,268 
230,468,295 
240,531,325 
250,592,354 
260,652,397 
270,717,426 
280,776,471 
290,837,518 
300,935,565 
310,1037,629 
320,1118,683 
330,1206,727 
340,1304,761 
350,1400,806 
360,1536,850 
370,1701,881 
380,1879,927 
390,2045,992 
400,2193,1058 
410,2364,1116 
420,2546,1187 
430,2730,1322 
440,2897,1509 
450,3085,1725 
